Ku,MMss,PP,D,switching_time,error_to_target
644444.4444444445,988888.8888888889,0.6777777777777777,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,988888.8888888889,0.6555555555555554,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,988888.8888888889,0.6333333333333333,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
711111.1111111111,1055555.5555555555,0.7,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,1055555.5555555555,0.6777777777777777,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
777777.7777777778,1033333.3333333334,0.611111111111111,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,966666.6666666666,0.5222222222222223,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,988888.8888888889,0.5444444444444444,4.333333333333333e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,944444.4444444445,0.5666666666666667,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,900000.0,0.5,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
711111.1111111111,1011111.1111111111,0.611111111111111,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,988888.8888888889,0.5666666666666667,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,1100000.0,0.7,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
755555.5555555555,944444.4444444445,0.5,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
777777.7777777778,1077777.7777777778,0.6333333333333333,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,1033333.3333333334,0.5666666666666667,4.555555555555555e-08,9.55955955955956e-10,4.4044044044044025e-11
644444.4444444445,1055555.5555555555,0.7,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,966666.6666666666,0.5666666666666667,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,1055555.5555555555,0.6777777777777777,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,922222.2222222222,0.5,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,1055555.5555555555,0.6555555555555554,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
711111.1111111111,1055555.5555555555,0.6333333333333333,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,1033333.3333333334,0.5888888888888889,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
755555.5555555555,966666.6666666666,0.5,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,1077777.7777777778,0.5888888888888889,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,1100000.0,0.611111111111111,4.777777777777778e-08,9.55955955955956e-10,4.4044044044044025e-11
600000.0,900000.0,0.5222222222222223,5e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,988888.8888888889,0.5666666666666667,5e-08,9.55955955955956e-10,4.4044044044044025e-11
666666.6666666666,1100000.0,0.7,5e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,944444.4444444445,0.5,5e-08,9.55955955955956e-10,4.4044044044044025e-11
688888.8888888889,1100000.0,0.6777777777777777,5e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,1055555.5555555555,0.5888888888888889,5e-08,9.55955955955956e-10,4.4044044044044025e-11
733333.3333333334,1077777.7777777778,0.611111111111111,5e-08,9.55955955955956e-10,4.4044044044044025e-11
755555.5555555555,988888.8888888889,0.5,5e-08,9.55955955955956e-10,4.4044044044044025e-11
755555.5555555555,1011111.1111111111,0.5222222222222223,5e-08,9.55955955955956e-10,4.4044044044044025e-11
800000.0,944444.4444444445,0.6555555555555554,3e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,922222.2222222222,0.7,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,922222.2222222222,0.6777777777777777,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
711111.1111111111,922222.2222222222,0.6555555555555554,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,966666.6666666666,0.7,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,900000.0,0.5888888888888889,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,966666.6666666666,0.6777777777777777,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,944444.4444444445,0.611111111111111,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1011111.1111111111,0.7,3.222222222222222e-08,1.0460460460460462e-09,4.604604604604611e-11
622222.2222222222,922222.2222222222,0.7,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,922222.2222222222,0.6777777777777777,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,922222.2222222222,0.6555555555555554,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,922222.2222222222,0.6333333333333333,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,900000.0,0.5666666666666667,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,966666.6666666666,0.6333333333333333,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,944444.4444444445,0.5888888888888889,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,922222.2222222222,0.5444444444444444,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1011111.1111111111,0.6555555555555554,3.4444444444444444e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,966666.6666666666,0.7,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,900000.0,0.5666666666666667,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
711111.1111111111,966666.6666666666,0.6333333333333333,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,1033333.3333333334,0.7,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,1011111.1111111111,0.6333333333333333,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,988888.8888888889,0.5888888888888889,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1077777.7777777778,0.7,3.6666666666666664e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,944444.4444444445,0.5888888888888889,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
711111.1111111111,922222.2222222222,0.5444444444444444,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,1011111.1111111111,0.6333333333333333,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,988888.8888888889,0.5888888888888889,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1077777.7777777778,0.7,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,944444.4444444445,0.5222222222222223,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,1077777.7777777778,0.6777777777777777,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1055555.5555555555,0.6333333333333333,3.8888888888888884e-08,1.0460460460460462e-09,4.604604604604611e-11
600000.0,988888.8888888889,0.7,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,922222.2222222222,0.5666666666666667,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,900000.0,0.5222222222222223,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,988888.8888888889,0.611111111111111,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,944444.4444444445,0.5222222222222223,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1055555.5555555555,0.6333333333333333,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,1033333.3333333334,0.5888888888888889,4.1111111111111104e-08,1.0460460460460462e-09,4.604604604604611e-11
622222.2222222222,966666.6666666666,0.611111111111111,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
622222.2222222222,1033333.3333333334,0.7,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,944444.4444444445,0.5444444444444444,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
688888.8888888889,1033333.3333333334,0.6333333333333333,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
711111.1111111111,1033333.3333333334,0.611111111111111,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,988888.8888888889,0.5444444444444444,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
777777.7777777778,1100000.0,0.6333333333333333,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1011111.1111111111,0.5222222222222223,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1033333.3333333334,0.5444444444444444,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,1055555.5555555555,0.5666666666666667,4.333333333333333e-08,1.0460460460460462e-09,4.604604604604611e-11
600000.0,988888.8888888889,0.6333333333333333,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,988888.8888888889,0.5888888888888889,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,1077777.7777777778,0.7,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,966666.6666666666,0.5444444444444444,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
711111.1111111111,1077777.7777777778,0.6333333333333333,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,1055555.5555555555,0.5888888888888889,4.555555555555555e-08,1.0460460460460462e-09,4.604604604604611e-11
600000.0,900000.0,0.5,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
622222.2222222222,1033333.3333333334,0.6333333333333333,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,1011111.1111111111,0.5666666666666667,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
733333.3333333334,1100000.0,0.611111111111111,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1011111.1111111111,0.5,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1033333.3333333334,0.5222222222222223,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1055555.5555555555,0.5444444444444444,4.777777777777778e-08,1.0460460460460462e-09,4.604604604604611e-11
600000.0,922222.2222222222,0.5,5e-08,1.0460460460460462e-09,4.604604604604611e-11
600000.0,1055555.5555555555,0.6555555555555554,5e-08,1.0460460460460462e-09,4.604604604604611e-11
622222.2222222222,1055555.5555555555,0.6333333333333333,5e-08,1.0460460460460462e-09,4.604604604604611e-11
644444.4444444445,1055555.5555555555,0.611111111111111,5e-08,1.0460460460460462e-09,4.604604604604611e-11
666666.6666666666,1033333.3333333334,0.5666666666666667,5e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1033333.3333333334,0.5,5e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1055555.5555555555,0.5222222222222223,5e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1077777.7777777778,0.5444444444444444,5e-08,1.0460460460460462e-09,4.604604604604611e-11
755555.5555555555,1100000.0,0.5666666666666667,5e-08,1.0460460460460462e-09,4.604604604604611e-11
800000.0,900000.0,0.6555555555555554,3e-08,9.50950950950951e-10,4.904904904904903e-11
733333.3333333334,922222.2222222222,0.7,3.222222222222222e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,922222.2222222222,0.6777777777777777,3.222222222222222e-08,9.50950950950951e-10,4.904904904904903e-11
800000.0,900000.0,0.611111111111111,3.222222222222222e-08,9.50950950950951e-10,4.904904904904903e-11
733333.3333333334,922222.2222222222,0.6555555555555554,3.4444444444444444e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,900000.0,0.5888888888888889,3.4444444444444444e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,966666.6666666666,0.6777777777777777,3.4444444444444444e-08,9.50950950950951e-10,4.904904904904903e-11
644444.4444444445,922222.2222222222,0.7,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
666666.6666666666,922222.2222222222,0.6777777777777777,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
688888.8888888889,922222.2222222222,0.6555555555555554,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
711111.1111111111,922222.2222222222,0.6333333333333333,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,966666.6666666666,0.6555555555555554,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
800000.0,1011111.1111111111,0.6777777777777777,3.6666666666666664e-08,9.50950950950951e-10,4.904904904904903e-11
666666.6666666666,966666.6666666666,0.7,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
688888.8888888889,900000.0,0.5888888888888889,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
688888.8888888889,966666.6666666666,0.6777777777777777,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
711111.1111111111,966666.6666666666,0.6555555555555554,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,944444.4444444445,0.5888888888888889,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,1011111.1111111111,0.6777777777777777,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,1011111.1111111111,0.6555555555555554,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
800000.0,988888.8888888889,0.611111111111111,3.8888888888888884e-08,9.50950950950951e-10,4.904904904904903e-11
622222.2222222222,944444.4444444445,0.6777777777777777,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
644444.4444444445,944444.4444444445,0.6555555555555554,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
666666.6666666666,944444.4444444445,0.6333333333333333,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
688888.8888888889,944444.4444444445,0.611111111111111,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
688888.8888888889,1011111.1111111111,0.7,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
711111.1111111111,922222.2222222222,0.5666666666666667,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
733333.3333333334,900000.0,0.5222222222222223,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,988888.8888888889,0.611111111111111,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,966666.6666666666,0.5666666666666667,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,1055555.5555555555,0.6777777777777777,4.1111111111111104e-08,9.50950950950951e-10,4.904904904904903e-11
600000.0,966666.6666666666,0.7,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
666666.6666666666,900000.0,0.5444444444444444,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
711111.1111111111,966666.6666666666,0.5888888888888889,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
733333.3333333334,944444.4444444445,0.5444444444444444,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
755555.5555555555,1033333.3333333334,0.6333333333333333,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
777777.7777777778,1011111.1111111111,0.5888888888888889,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
800000.0,944444.4444444445,0.5,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
800000.0,1100000.0,0.6777777777777777,4.333333333333333e-08,9.50950950950951e-10,4.904904904904903e-11
600000.0,944444.4444444445,0.6333333333333333,4.555555555555555e-08,9.50950950950951e-10,4.904904904904903e-11
622222.2222222222,944444.4444444445,0.611111111111111,4.555555555555555e-08,9.50950950950951e-10,4.904904904904903e-11
